lidar_date,name,product,illuminations,start,md5sum,download_link,time_range,Seconds
2010-04-24 22:44:54,MOD021KM.A2010114.1610.061.2017252020819.hdf,MOD021KM,N,2010-04-24 16:10:00,502666471012a91fda67551d317c0311,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010114.1610.061.2017252020819.hdf,0:25:06,1506
2010-04-27 22:00:14,MOD021KM.A2010117.1500.061.2017254171617.hdf,MOD021KM,N,2010-04-27 15:00:00,092e9de4e470e74e88c561bfddc9d899,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010117.1500.061.2017254171617.hdf,0:00:14,14
2010-04-27 22:16:18,MOD021KM.A2010117.1505.061.2017254172302.hdf,MOD021KM,B,2010-04-27 15:05:00,5d31c06c32d88eedf4ae7f2dccfaaa0e,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010117.1505.061.2017254172302.hdf,0:11:18,678
2010-04-27 23:16:42,MOD021KM.A2010117.1640.061.2017254171838.hdf,MOD021KM,N,2010-04-27 16:40:00,c81d801f1e7475bd8fda9570d011b875,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010117.1640.061.2017254171838.hdf,0:23:18,1398
2010-05-04 23:26:14,MOD021KM.A2010124.1645.061.2017253165041.hdf,MOD021KM,N,2010-05-04 16:45:00,f5d34e89d9e92e987e3a47bdb5d0a09c,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010124.1645.061.2017253165041.hdf,0:18:46,1126
2010-05-27 22:23:40,MOD021KM.A2010147.1515.061.2017253121654.hdf,MOD021KM,B,2010-05-27 15:15:00,c6fcfef7c6b5167cfc1004f6d035f68d,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010147.1515.061.2017253121654.hdf,0:08:40,520
2010-05-27 23:24:57,MOD021KM.A2010147.1650.061.2017253122107.hdf,MOD021KM,N,2010-05-27 16:50:00,827e9bea71bb6c16e071b09396234585,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010147.1650.061.2017253122107.hdf,0:25:03,1503
2010-06-29 23:23:09,MOD021KM.A2010180.1600.061.2017253172146.hdf,MOD021KM,B,2010-06-29 16:00:00,2241a125547963fd2b0d4bbae7819679,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010180.1600.061.2017253172146.hdf,0:23:09,1389
2010-06-30 23:51:21,MOD021KM.A2010181.1640.061.2017255032314.hdf,MOD021KM,B,2010-06-30 16:40:00,8a75ba1352032fc4fb1de75e3e10ac96,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010181.1640.061.2017255032314.hdf,0:11:21,681
2010-07-15 22:39:12,MOD021KM.A2010196.1555.061.2017253184056.hdf,MOD021KM,N,2010-07-15 15:55:00,42db6dd446831ce7ba0f4caa04839338,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010196.1555.061.2017253184056.hdf,0:15:48,948
2010-07-15 23:09:56,MOD021KM.A2010196.1600.061.2017253184553.hdf,MOD021KM,B,2010-07-15 16:00:00,ace974a6c60c270f1d2418c5c2a70c14,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010196.1600.061.2017253184553.hdf,0:09:56,596
2010-10-12 21:03:33,MOD021KM.A2010285.1415.061.2017256065543.hdf,MOD021KM,N,2010-10-12 14:15:00,f80ee4b0fd4fee18f60e2b08a12d6b4b,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010285.1415.061.2017256065543.hdf,0:11:27,687
2010-10-12 23:02:54,MOD021KM.A2010285.1550.061.2017256065618.hdf,MOD021KM,N,2010-10-12 15:50:00,a5c621575ff66a4ba766b696eccd3e19,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010285.1550.061.2017256065618.hdf,0:12:54,774
2011-04-11 23:12:48,MOD021KM.A2011101.1610.061.2017322200654.hdf,MOD021KM,N,2011-04-11 16:10:00,8c00b0cc053263dbbb41db25fc03bb13,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011101.1610.061.2017322200654.hdf,0:02:48,168
2011-04-12 21:48:41,MOD021KM.A2011102.1515.061.2017322201143.hdf,MOD021KM,N,2011-04-12 15:15:00,90732b8bbe522551a5b67f7e8394c0da,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011102.1515.061.2017322201143.hdf,0:26:19,1579
2011-05-30 21:59:19,MOD021KM.A2011150.1515.061.2017323152332.hdf,MOD021KM,B,2011-05-30 15:15:00,927deb50aadf399b6e2fa692c6e97287,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011150.1515.061.2017323152332.hdf,0:15:41,941
2011-09-08 23:45:06,MOD021KM.A2011251.1710.061.2017326092404.hdf,MOD021KM,N,2011-09-08 17:10:00,3b04d405f9c956229ce60c79184076a9,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011251.1710.061.2017326092404.hdf,0:24:54,1494
2011-09-20 21:15:34,MOD021KM.A2011263.1420.061.2017326110639.hdf,MOD021KM,N,2011-09-20 14:20:00,e52cb105e7589e9635017ffbbae44dea,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011263.1420.061.2017326110639.hdf,0:04:26,266
2011-09-20 23:04:09,MOD021KM.A2011263.1600.061.2017326105757.hdf,MOD021KM,N,2011-09-20 16:00:00,00542fd5dac58d4f61cf505d9dc9fc2a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011263.1600.061.2017326105757.hdf,0:04:09,249
2011-09-26 13:54:23,MOD021KM.A2011269.0720.061.2017326145509.hdf,MOD021KM,D,2011-09-26 07:20:00,19c2e0db08320ce3052d3e8b590fb3e6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011269.0720.061.2017326145509.hdf,0:25:37,1537
2011-09-27 20:57:06,MOD021KM.A2011270.1425.061.2017326154905.hdf,MOD021KM,N,2011-09-27 14:25:00,d14efad312ef91b40efd7e9f0b110a76,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011270.1425.061.2017326154905.hdf,0:27:54,1674
2011-09-27 23:15:36,MOD021KM.A2011270.1605.061.2017326154849.hdf,MOD021KM,N,2011-09-27 16:05:00,d58ca9eb4fa8dd2092528f62a3963ecb,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011270.1605.061.2017326154849.hdf,0:10:36,636
2011-10-24 15:26:04,MYD021KM.A2011297.0800.061.2018034020440.hdf,MYD021KM,D,2011-10-24 08:00:00,e989c846b0df572d962e88fdc1a209f5,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2011297.0800.061.2018034020440.hdf,0:26:04,1564
2011-11-16 14:28:28,MOD021KM.A2011320.0750.061.2017327170344.hdf,MOD021KM,B,2011-11-16 07:50:00,c46e09dde3f853658d9cc40f6ebac0f2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011320.0750.061.2017327170344.hdf,0:21:32,1292
2011-11-16 14:36:45,MYD021KM.A2011320.0805.061.2018034114733.hdf,MYD021KM,D,2011-11-16 08:05:00,4293a7f0879c59fb2c36dfffd00cf87d,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2011320.0805.061.2018034114733.hdf,0:28:15,1695
2011-11-28 12:29:31,MOD021KM.A2011332.0500.061.2017328025942.hdf,MOD021KM,D,2011-11-28 05:00:00,af225d99ec06ff000b6e6ad10b364a4e,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011332.0500.061.2017328025942.hdf,0:29:31,1771
2011-12-26 12:05:56,MYD021KM.A2011360.0535.061.2018035054441.hdf,MYD021KM,D,2011-12-26 05:35:00,f2947f85381a375841e0694ebaf29bce,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2011360.0535.061.2018035054441.hdf,0:29:04,1744
2011-12-26 12:05:56,MOD021KM.A2011360.0525.061.2017328165709.hdf,MOD021KM,B,2011-12-26 05:25:00,07ef9daaaa242b0a51e6b3d31fef9caa,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2011360.0525.061.2017328165709.hdf,0:19:04,1144
2012-01-04 13:38:40,MOD021KM.A2012004.0655.061.2017329175618.hdf,MOD021KM,B,2012-01-04 06:55:00,1cd00642d166f54a4f56bba9a08a23db,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012004.0655.061.2017329175618.hdf,0:16:20,980
2012-01-04 14:03:25,MYD021KM.A2012004.0710.061.2018036214355.hdf,MYD021KM,B,2012-01-04 07:10:00,3655c5c99f9af7a68f566c1ca85a70dc,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2012004.0710.061.2018036214355.hdf,0:06:35,395
2012-01-04 14:03:25,MOD021KM.A2012004.0700.061.2017329175459.hdf,MOD021KM,D,2012-01-04 07:00:00,356a3f8b0aba16b6ce33c89482a57e9b,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012004.0700.061.2017329175459.hdf,0:03:25,205
2012-01-10 13:38:09,MYD021KM.A2012010.0635.061.2018038124107.hdf,MYD021KM,B,2012-01-10 06:35:00,499387f1dfce64269c77fd99b9197b88,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2012010.0635.061.2018038124107.hdf,0:03:09,189
2012-01-10 13:38:09,MOD021KM.A2012010.0620.061.2017329174607.hdf,MOD021KM,B,2012-01-10 06:20:00,9921776e9a15660c77149baa0e042738,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012010.0620.061.2017329174607.hdf,0:18:09,1089
2012-01-12 12:44:27,MOD021KM.A2012012.0610.061.2017329180219.hdf,MOD021KM,D,2012-01-12 06:10:00,f6b431f6fb0a62431084afa9ec683ea5,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012012.0610.061.2017329180219.hdf,0:25:33,1533
2012-06-01 14:37:31,MYD021KM.A2012153.0730.061.2018040004113.hdf,MYD021KM,D,2012-06-01 07:30:00,435c7e99dfa8b9d259cf3ddb433872a1,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2012153.0730.061.2018040004113.hdf,0:07:31,451
2012-06-01 14:37:31,MOD021KM.A2012153.0715.061.2017334013224.hdf,MOD021KM,D,2012-06-01 07:15:00,edff95a2076749fe49c70adb8b1fc8fb,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012153.0715.061.2017334013224.hdf,0:22:31,1351
2012-10-13 15:43:49,MOD021KM.A2012287.0815.061.2017339011416.hdf,MOD021KM,D,2012-10-13 08:15:00,c55e1c3f0891d6672c9d019dea057654,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2012287.0815.061.2017339011416.hdf,0:28:49,1729
2013-01-03 14:53:12,MYD021KM.A2013003.0815.061.2018043211638.hdf,MYD021KM,D,2013-01-03 08:15:00,73ec955fedd70dab9a0e2e0daf20be33,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013003.0815.061.2018043211638.hdf,0:21:48,1308
2013-02-03 12:45:14,MYD021KM.A2013034.0555.061.2018044033014.hdf,MYD021KM,D,2013-02-03 05:55:00,8a4190166e27e5d473dd9f4aeb25233a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013034.0555.061.2018044033014.hdf,0:09:46,586
2013-02-03 12:45:14,MOD021KM.A2013034.0545.061.2017294180611.hdf,MOD021KM,D,2013-02-03 05:45:00,77983198109847cf23aa2850f4927e3b,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013034.0545.061.2017294180611.hdf,0:00:14,14
2013-02-21 13:43:08,MOD021KM.A2013052.0710.061.2017295010833.hdf,MOD021KM,D,2013-02-21 07:10:00,734996ca7c8563913f56a17f6b42b6a6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013052.0710.061.2017295010833.hdf,0:26:52,1612
2013-02-21 14:04:17,MYD021KM.A2013052.0720.061.2018044080917.hdf,MYD021KM,D,2013-02-21 07:20:00,26e19abd5fc5d66548618ec2d0ce3328,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013052.0720.061.2018044080917.hdf,0:15:43,943
2013-03-20 13:45:29,MYD021KM.A2013079.0705.061.2018045160301.hdf,MYD021KM,D,2013-03-20 07:05:00,ddbeacf78dc82cc7c3bffff0f1c7f8ab,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013079.0705.061.2018045160301.hdf,0:19:31,1171
2013-03-20 13:45:29,MOD021KM.A2013079.0650.061.2017295102149.hdf,MOD021KM,D,2013-03-20 06:50:00,e2ace95b5c9f852993101ab67f2108a2,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013079.0650.061.2017295102149.hdf,0:04:31,271
2013-03-22 11:37:22,MOD021KM.A2013081.0500.061.2017294161554.hdf,MOD021KM,D,2013-03-22 05:00:00,70145119c48ddc662afb3955699f1791,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013081.0500.061.2017294161554.hdf,0:22:38,1358
2013-03-22 12:06:21,MYD021KM.A2013081.0515.061.2018045171057.hdf,MYD021KM,D,2013-03-22 05:15:00,4cb8de042abf13d68aa01a974aa0d5ff,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013081.0515.061.2018045171057.hdf,0:08:39,519
2013-03-22 13:12:59,MOD021KM.A2013081.0640.061.2017294161657.hdf,MOD021KM,D,2013-03-22 06:40:00,5dcca8a960a9a205a584d2c34e8c6751,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013081.0640.061.2017294161657.hdf,0:27:01,1621
2013-03-22 13:31:24,MYD021KM.A2013081.0650.061.2018045171101.hdf,MYD021KM,D,2013-03-22 06:50:00,04f7600cc9fca918239238b4af0f0df5,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013081.0650.061.2018045171101.hdf,0:18:36,1116
2013-03-26 13:10:16,MYD021KM.A2013085.0625.061.2018045191814.hdf,MYD021KM,D,2013-03-26 06:25:00,eaab41a8414f3f911cb32ac4387f36e4,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013085.0625.061.2018045191814.hdf,0:14:44,884
2013-03-26 13:10:16,MOD021KM.A2013085.0615.061.2017295034400.hdf,MOD021KM,D,2013-03-26 06:15:00,85fdb7d5d11a659bf142fa690cc98097,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013085.0615.061.2017295034400.hdf,0:04:44,284
2013-03-26 13:57:52,MYD021KM.A2013085.0630.061.2018045191810.hdf,MYD021KM,D,2013-03-26 06:30:00,c8d97e156e3311179f70e01d5c72e3e0,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013085.0630.061.2018045191810.hdf,0:27:52,1672
2013-03-26 14:53:31,MYD021KM.A2013085.0805.061.2018045191907.hdf,MYD021KM,D,2013-03-26 08:05:00,c9029e3600cb00f4ec752a40b09df78a,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013085.0805.061.2018045191907.hdf,0:11:29,689
2013-04-09 11:53:57,MOD021KM.A2013099.0450.061.2017294230856.hdf,MOD021KM,D,2013-04-09 04:50:00,d26c9bde882582bd6defc06f1f7748cf,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013099.0450.061.2017294230856.hdf,0:03:57,237
2013-04-11 12:02:06,MYD021KM.A2013101.0450.061.2018045235029.hdf,MYD021KM,D,2013-04-11 04:50:00,68ca7711eccc1ce4ae4ea6016268f5f6,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013101.0450.061.2018045235029.hdf,0:12:06,726
2013-04-11 12:02:06,MOD021KM.A2013101.0435.061.2017295045432.hdf,MOD021KM,D,2013-04-11 04:35:00,4753dc51ecbf76fbb2549b80caf6de40,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013101.0435.061.2017295045432.hdf,0:27:06,1626
2013-04-11 12:46:52,MOD021KM.A2013101.0615.061.2017295045429.hdf,MOD021KM,D,2013-04-11 06:15:00,fadb51f48d9190966b1e216c21785e76,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013101.0615.061.2017295045429.hdf,0:28:08,1688
2013-04-15 13:24:53,MYD021KM.A2013105.0605.061.2018046015522.hdf,MYD021KM,D,2013-04-15 06:05:00,c4e1f753cdb2de9dd0f2393a2fa25885,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013105.0605.061.2018046015522.hdf,0:19:53,1193
2013-04-17 13:57:03,MOD021KM.A2013107.0715.061.2017294230034.hdf,MOD021KM,D,2013-04-17 07:15:00,037588a993fbcfd5aed8a7c35b974bc7,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2013107.0715.061.2017294230034.hdf,0:17:57,1077
2013-04-17 14:26:24,MYD021KM.A2013107.0730.061.2018046041003.hdf,MYD021KM,D,2013-04-17 07:30:00,b46e9450aadb9cae0b89903ac61292eb,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2013107.0730.061.2018046041003.hdf,0:03:36,216
